S No.,Date,App Name,Usage (in Seconds),Launch Count,is Monitoring,is SystemApp,Package Name
320,2022/07/03,Xodo Docs,614,16,Yes,No,com.xodo.pdf.reader
321,2022/07/03,My Files,107,6,Yes,No,com.sec.android.app.myfiles
322,2022/07/02,Google Play services,201,22,No,Yes,com.google.android.gms
323,2022/07/03,PrepLadder,16,7,Yes,No,com.prepladder.learningapp
324,2022/07/04,Xodo Docs,1848,6,Yes,No,com.xodo.pdf.reader
325,2022/07/04,Vanced microG,23,2,No,Yes,com.mgoogle.android.gms
326,2022/07/04,Finder,24,4,Yes,No,com.samsung.android.app.galaxyfinder
327,2022/07/02,Finder,52,11,Yes,No,com.samsung.android.app.galaxyfinder
328,2022/07/03,Finder,6,2,Yes,No,com.samsung.android.app.galaxyfinder
329,2022/07/04,YouTube Music,28,2,Yes,No,com.vanced.android.apps.youtube.music
330,2022/07/02,Find My Mobile,42,4,No,Yes,com.samsung.android.fmm
331,2022/07/02,OneDrive,0,1,Yes,No,com.microsoft.skydrive
332,2022/07/03,Android System,7,2,No,Yes,android
333,2022/07/02,Android System,19,5,No,Yes,android
334,2022/07/02,Samsung account,252,12,No,Yes,com.osp.app.signin
335,2022/07/04,Android System,1,2,No,Yes,android
336,2022/07/04,Samsung account,3,1,No,Yes,com.osp.app.signin
337,2022/07/04,Samsung Notes,158,1,Yes,No,com.samsung.android.app.notes
338,2022/07/03,Samsung account,3,1,No,Yes,com.osp.app.signin
339,2022/07/02,Samsung Notes,48,6,Yes,No,com.samsung.android.app.notes
340,2022/07/03,NotiStar (Uninstalled),20,3,No,Yes,com.samsung.systemui.notilus
341,2022/07/04,Samsung capture,128,4,No,Yes,com.samsung.android.app.smartcapture
342,2022/07/02,Smart View,43,2,No,Yes,com.samsung.android.smartmirroring
343,2022/07/03,Samsung capture,9,1,No,Yes,com.samsung.android.app.smartcapture
344,2022/07/02,Samsung capture,54,3,No,Yes,com.samsung.android.app.smartcapture
345,2022/07/03,Contacts,49,3,Yes,No,com.samsung.android.app.contacts
346,2022/07/04,Contacts,13,2,Yes,No,com.samsung.android.app.contacts
347,2022/07/03,Pikashow,1294,3,Yes,No,com.offshore.pikachu
348,2022/07/02,Contacts,24,3,Yes,No,com.samsung.android.app.contacts
349,2022/07/04,Pikashow,316,9,Yes,No,com.offshore.pikachu
350,2022/07/02,Data restore tool,32,4,No,Yes,com.google.android.apps.restore
351,2022/07/04,Phone,84,7,Yes,No,com.samsung.android.dialer
352,2022/07/02,Tags,5,2,No,Yes,com.samsung.android.service.tagservice
353,2022/07/02,YouTube Vanced,21,1,Yes,No,com.vanced.android.youtube
354,2022/07/03,Samsung DeX,4,1,No,Yes,com.sec.android.desktopmode.uiservice
355,2022/07/02,Samsung DeX,141,7,No,Yes,com.sec.android.desktopmode.uiservice
356,2022/07/02,Secure Folder,32,4,Yes,No,com.samsung.knox.securefolder
357,2022/07/03,Phone,3,1,Yes,No,com.samsung.android.dialer
358,2022/07/02,Phone,5,3,Yes,No,com.samsung.android.dialer
359,2022/07/02,Pikashow,2792,17,Yes,No,com.offshore.pikachu
360,2022/07/04,YouTube Vanced,8459,18,Yes,No,com.vanced.android.youtube
361,2022/07/03,YouTube Vanced,334,3,Yes,No,com.vanced.android.youtube
362,2022/07/03,OneDrive,93,3,Yes,No,com.microsoft.skydrive
363,2022/07/04,System UI,5,1,No,Yes,com.android.systemui
364,2022/07/02,System UI,98,5,No,Yes,com.android.systemui
365,2022/07/04,Digital Wellbeing,26,1,No,Yes,com.samsung.android.forest
366,2022/07/02,Galaxy Themes,104,7,No,Yes,com.samsung.android.themestore
367,2022/07/03,Galaxy Themes,39,1,No,Yes,com.samsung.android.themestore
368,2022/07/02,Camera,21,4,Yes,No,com.sec.android.app.camera
369,2022/07/03,Digital Wellbeing,117,3,No,Yes,com.samsung.android.forest
370,2022/07/02,Digital Wellbeing,65,4,No,Yes,com.samsung.android.forest
371,2022/07/03,Camera,18,4,Yes,No,com.sec.android.app.camera
372,2022/07/04,Camera,246,9,Yes,No,com.sec.android.app.camera
373,2022/07/02,Link to Windows,3,1,Yes,No,com.microsoft.appmanager
374,2022/07/03,Accessibility,182,3,Yes,No,com.samsung.accessibility
375,2022/07/02,Accessibility,29,2,Yes,No,com.samsung.accessibility
376,2022/07/03,Link to Windows,4,2,Yes,No,com.microsoft.appmanager
